地名,センター（center.csvを使わない場合は空白化）,可燃ごみ,不燃ごみ,資源
青葉台一丁目から四丁目,,火 金,土1 土3,木
大岡山一丁目・二丁目,,水 土,月2 月4,金
大橋一丁目・二丁目,,火 金,水1 水3,月
柿の木坂一丁目,,月 木,金2 金4,水
柿の木坂二丁目・三丁目,,月 木,金1 金3,水
上目黒一丁目,,火 金,土1 土3,木
上目黒二丁目,,月 木,火2 火4,土
上目黒三丁目,,火 金,水2 水4,土
上目黒四丁目・五丁目,,火 金,水2 水4,月
五本木一丁目・二丁目,,火 金,水2 水4,月
五本木三丁目,,月 木,金2 金4,水
駒場一丁目から四丁目,,火 金,土1 土3,月
下目黒一丁目から五丁目,,火 金,土2 土4,木
下目黒六丁目,,水 土,木1 木3,火
自由が丘一丁目から三丁目,,水 土,月1 月3,金
洗足一丁目・二丁目,,水 土,木2 木4,火
平町一丁目・二丁目,,水 土,月2 月4,金
鷹番一丁目,,月 木,金2 金4,水
鷹番二丁目,,月 木,金2 金4,水
鷹番三丁目,,月 木,金2 金4,水
中央町一丁目,,月 木,金2 金4,土
中央町二丁目,,月 木,金2 金4,土
中町一丁目・二丁目,,月 木,火1 火3,土
中根一丁目,,水 土,月1 月3,金
中根二丁目,,水 土,月2 月4,金
中目黒一丁目・二丁目,,火 金,土1 土3,木
中目黒三丁目から五丁目,,月 木,火2 火4,土
原町一丁目・二丁目,,水 土,木2 木4,火
東が丘一丁目・二丁目,,月 木,金1 金3,水
東山一丁目から三丁目,,火 金,水1 水3,月
碑文谷一丁目・二丁目,,水 土,木2 木4,火
碑文谷三丁目・四丁目,,水 土,木2 木4,金
碑文谷五丁目・六丁目,,月 木,金2 金4,水
三田一丁目・二丁目,,火 金,土2 土4,木
緑が丘一丁目から三丁目,,水 土,月1 月3,金
南一丁目,,水 土,木2 木4,火
南二丁目,,水 土,木2 木4,金
南三丁目,,水 土,月2 月4,金
目黒一丁目,,火 金,土2 土4,木
目黒二丁目,,火 金,土1 土3,木
目黒三丁目・四丁目,,月 木,火1 火3,土
目黒本町一丁目から六丁目,,水 土,木1 木3,火
八雲一丁目から五丁目,,月 木,金1 金3,水
祐天寺一丁目・二丁目,,月 木,火2 火4,土
